Year,Decimal_Day,Hour,HILat,HILon,BR_RTN,BT_RTN,BN_RTN,Field Magn. Avg,Bulk Flow Speed,THETA,PHI,ION_Density,Temp
2017,1,0,-2.9,23.5,5.8,0.8,-2.4,7.1,551,-0.8,-4.3,6.9,149703
2017,1,1,-2.9,23.5,4.6,1,-3.4,6.5,553,0.8,-4.5,7,170252
2017,1,2,-2.9,23.5,4.4,-1.1,-3.1,5.8,550,1.1,-3.8,6.3,159322
2017,1,3,-2.9,23.6,5.4,-2,-0.2,6.2,536,-0.2,-2.7,5.6,149262
2017,1,4,-2.9,23.6,1,3.3,-2.8,6.7,543,-0.4,-3.8,5.6,149890
2017,1,5,-2.9,23.7,0.2,-1.3,-3.9,5.6,542,0.8,-1.3,4.9,164122
2017,1,6,-2.9,23.7,3.2,-2.3,-1,5,525,-1,-0.6,4.6,171521
2017,1,7,-2.9,23.8,0.3,-1.1,-1.7,4.5,533,-1.5,-1.2,4.5,140269
2017,1,8,-2.9,23.8,1.5,-3.1,-1,5.1,529,-1.9,0.5,4.9,142314
2017,1,9,-2.9,23.8,1.9,-0.1,-0.5,3.4,516,-0.8,-0.6,5.6,177333
2017,1,10,-2.9,23.9,3.2,0.5,-0.1,4,511,-0.7,-1.4,5.5,181544
2017,1,11,-3,23.9,-1.7,2.5,-2.3,4.9,520,0.1,-1.8,5.5,138267
2017,1,12,-3,24,-0.6,-2.7,-0.2,4.2,515,-0.6,0.2,5.6,135834
2017,1,13,-3,24,-1.1,-0.4,-2.1,3.7,516,-0.3,-0.7,5.7,151589
2017,1,14,-3,24,-2.9,-1.8,-0.2,4.7,513,-0.5,-0.7,5.1,131473
2017,1,15,-3,24.1,-0.6,-4,1.1,4.6,501,-0.7,0.5,5.3,121805
2017,1,16,-3,24.1,-1.3,-3.1,-0.6,4.1,495,-0.8,0.4,5.3,110364
2017,1,17,-3,24.2,-0.7,-1.9,-1.8,3.7,486,-0.8,0.5,5.3,117563
2017,1,18,-3,24.2,-3.1,-1.1,-0.5,3.4,484,-1,0.8,5.5,101535
